id,commentary_id,commentary_key,translation,language
1,23,1.1.2_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
2,23,1.1.2_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
3,23,1.1.2_Part#1_भाष्यम्,వ్యాఖ్యానము - మీ తెలుగు వ్యాఖ్యానమును ఇక్కడ వ్రాయండి,te
4,23,1.1.2_Part#1_भाष्यम्,விளக்கம் - உங்கள் தமிழ் விளக்கத்தை இங்கே எழுதவும்,ta
5,23,1.1.2_Part#1_भाष्यम्,വ്യാഖ്യാനം - നിങ്ങളുടെ മലയാളം വ്യാഖ്യാനം ഇവിടെ എഴുതുക,ml
6,23,1.1.2_Part#1_भाष्यम्,ટીકા - તમારી ગુજરાતી ટીકા અહીં લખો,gu
7,23,1.1.2_Part#1_भाष्यम्,ବ୍ୟାଖ୍ୟା - ଆପଣଙ୍କର ଓଡ଼ିଆ ବ୍ୟାଖ୍ୟା ଏଠାରେ ଲେଖନ୍ତୁ,or
8,23,1.1.2_Part#1_भाष्यम्,ব্যাখ্যা - আপনার বাংলা ব্যাখ্যা এখানে লিখুন,bn
9,24,1.1.2_Part#1_तत्त्वप्रकाशिका,ಇಲ್ಲಿ ಕನ್ನಡದಲ್ಲಿ ಬರೆಯಿರಿ,ka
10,34,1.1.3_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
11,34,1.1.3_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
12,45,1.1.4_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
13,45,1.1.4_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
14,56,1.1.5_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
15,56,1.1.5_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
16,67,1.1.6_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
17,67,1.1.6_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
18,78,1.1.7_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
19,78,1.1.7_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
20,89,1.1.8_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
21,89,1.1.8_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
22,100,1.1.9_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
23,100,1.1.9_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
24,111,1.1.10_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
25,111,1.1.10_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
26,122,1.1.11_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
27,122,1.1.11_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
28,133,1.1.12_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
29,133,1.1.12_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
30,144,1.1.13_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
31,144,1.1.13_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
32,155,1.1.14_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
33,155,1.1.14_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
34,166,1.1.15_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
35,166,1.1.15_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
36,177,1.1.16_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
37,177,1.1.16_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
38,188,1.1.17_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
39,188,1.1.17_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
40,199,1.1.18_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
41,199,1.1.18_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
42,210,1.1.19_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
43,210,1.1.19_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
44,221,1.1.20_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
45,221,1.1.20_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
46,232,1.1.21_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
47,232,1.1.21_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
48,243,1.1.22_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
49,243,1.1.22_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
50,254,1.1.23_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
51,254,1.1.23_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
52,265,1.1.24_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
53,265,1.1.24_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
54,276,1.1.25_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
55,276,1.1.25_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
56,287,1.1.26_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
57,287,1.1.26_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
58,298,1.1.27_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
59,298,1.1.27_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
60,309,1.1.28_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
61,309,1.1.28_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
62,320,1.1.29_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
63,320,1.1.29_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
64,331,1.1.30_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
65,331,1.1.30_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
66,342,1.1.31_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
67,342,1.1.31_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
68,353,1.2.1_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
69,353,1.2.1_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
70,364,1.2.2_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
71,364,1.2.2_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
72,375,1.2.3_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
73,375,1.2.3_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
74,386,1.2.4_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
75,386,1.2.4_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
76,397,1.2.5_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
77,397,1.2.5_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
78,408,1.2.6_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
79,408,1.2.6_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
80,419,1.2.7_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
81,419,1.2.7_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
82,430,1.2.8_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
83,430,1.2.8_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
84,441,1.2.9_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
85,441,1.2.9_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
86,452,1.2.10_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
87,452,1.2.10_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
88,463,1.2.11_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
89,463,1.2.11_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
90,474,1.2.12_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
91,474,1.2.12_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
92,485,1.2.13_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
93,485,1.2.13_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
94,496,1.2.14_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
95,496,1.2.14_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
96,507,1.2.15_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
97,507,1.2.15_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
98,518,1.2.16_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
99,518,1.2.16_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
100,529,1.2.17_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
101,529,1.2.17_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
102,540,1.2.18_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
103,540,1.2.18_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
104,551,1.2.19_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
105,551,1.2.19_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
106,562,1.2.20_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
107,562,1.2.20_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
108,573,1.2.21_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
109,573,1.2.21_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
110,584,1.2.22_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
111,584,1.2.22_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
112,595,1.2.23_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
113,595,1.2.23_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
114,606,1.2.24_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
115,606,1.2.24_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
116,617,1.2.25_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
117,617,1.2.25_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
118,628,1.2.26_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
119,628,1.2.26_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
120,639,1.2.27_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
121,639,1.2.27_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
122,650,1.2.28_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
123,650,1.2.28_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
124,661,1.2.29_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
125,661,1.2.29_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
126,672,1.2.30_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
127,672,1.2.30_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
128,683,1.2.31_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
129,683,1.2.31_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
130,694,1.2.32_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
131,694,1.2.32_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
132,705,1.3.1_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
133,705,1.3.1_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
134,716,1.3.2_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
135,716,1.3.2_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
136,727,1.3.3_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
137,727,1.3.3_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
138,738,1.3.4_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
139,738,1.3.4_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
140,749,1.3.5_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
141,749,1.3.5_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
142,760,1.3.6_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
143,760,1.3.6_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
144,771,1.3.7_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
145,771,1.3.7_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
146,782,1.3.8_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
147,782,1.3.8_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
148,793,1.3.9_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
149,793,1.3.9_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
150,804,1.3.10_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
151,804,1.3.10_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
152,815,1.3.11_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
153,815,1.3.11_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
154,826,1.3.12_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
155,826,1.3.12_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
156,837,1.3.13_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
157,837,1.3.13_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
158,848,1.3.14_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
159,848,1.3.14_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
160,859,1.3.15_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
161,859,1.3.15_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
162,870,1.3.16_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
163,870,1.3.16_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
164,881,1.3.17_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
